Rio Grande;John Ford;Western;"Republic; based on story Mission With No Record; Remake of 1938 film"
Rio Grande Patrol;Lesley Selander;Western;RKO
Rocketship X-M;Kurt Neumann;Science fiction;Lippert. Shot in 18 days
Rock Island Trail;Joseph Kane;Western;Republic
Rocky Mountain;William Keighley;Western;Warner Bros.
Rogues of Sherwood Forest;Gordon Douglas;Drama;Columbia
Rookie Fireman;Seymour Friedman;Drama;Columbia
Rustlers on Horseback;Fred C. Brannon;Western;Republic
Saddle Tramp;Hugo Fregonese;Western;Universal
Salt Lake Raiders;Fred C. Brannon;Western;Republic
Sarumba;Marion Gering;Musical;Eagle-Lion
The Savage Horde;Joseph Kane;Western;Republic
Second Chance;William Beaudine;Drama;Independent
The Second Face;Jack Bernhard;Drama;Eagle-Lion
The Second Woman;James V. Kern;Film noir;United Artists
The Secret Fury;Mel Ferrer;Film noir;RKO. José Ferrer in uncredited role
September Affair;William Dieterle;Romance;Paramount
Shadow on the Wall;Pat Jackson;Mystery;MGM. Based on Death in the Doll's House
Shakedown;Joseph Pevney (as Joe Pevney);Film noir;"Universal; Remake of 1988 film"
Short Grass;Lesley Selander;Western;Allied Artists
The Showdown;Dorrell McGowan;Western;Republic
Side Street;Anthony Mann;Film noir;MGM
Sideshow;Jean Yarbrough;Crime;Monogram
Sierra Passage;Frank McDonald;Western;Monogram
Sierra;Alfred E. Green;Western;Universal
The Silver Bandit;Elmer Clifton;Western;Astor
Silver Raiders;Wallace Fox;Western;Monogram
Singing Guns;R. G. Springsteen;Western;Republic
Six Gun Mesa;Wallace Fox;Western;Monogram
The Skipper Surprised His Wife;Elliott Nugent;Comedy;MGM
The Sleeping City;George Sherman;Film noir;Universal. Shot in semidocumentary style
Snow Dog;Frank McDonald;Adventure;Monogram
So Young, So Bad;Bernard Vorhaus;Drama;United Artists
The Sound of Fury;Cy Endfield;Film noir;United Artists. aka Try and Get Me
South Sea Sinner;H. Bruce Humberstone;Drama;Universal
Southside 1-1000;Boris Ingster;Film noir;Allied Artists
Spy Hunt;George Sherman;Film noir;Universal[2]
Square Dance Katy;Jean Yarbrough;Musical;Monogram
Stage to Tucson;Ralph Murphy;Western;Columbia
Stars In My Crown;Jacques Tourneur;Western;MGM. Based on novel of same name
State Penitentiary;Lew Landers;Drama;Columbia
Stella;Claude Binyon;Comedy;20th Century Fox
Storm over Wyoming;Lesley Selander;Western;RKO
Streets of Ghost Town;Ray Nazarro;Western;Columbia
Summer Stock;Charles Walters;Musical;Garland's last MGM film
Sunset Boulevard;Billy Wilder;Film noir;"Paramount; winner of 3 Academy Awards"
Sunset in the West;William Witney;Western;Republic
The Sun Sets at Dawn;Paul Sloane;Crime;Eagle-Lion
The Sundowners;George Templeton;Western;Eagle-Lion
Surrender;Allan Dwan;Western;Republic
Swiss Tour;Leopold Lindtberg;Drama;Film Classics
Tarnished;Harry Keller;Drama;Republic
Tarzan and the Slave Girl;Lee Sholem;Adventure;RKO
The Tattooed Stranger;Edward Montagne;Crime;RKO
Tea for Two;David Butler;Musical comedy;Warner Bros. Based on musical No, No Nanette
Tension;John Berry;Film noir;MGM
The Texan Meets Calamity Jane;Ande Lamb;Western;Ankers' last role for 10 years
Texas Dynamo;Ray Nazarro;Western;Columbia
The Third Man;Carol Reed;Film noir;Selznick
This Side of the Law;Richard Bare;Film noir;Warner Bros.
Three Came Home;Jean Negulesco;Drama;20th Century Fox.
Three Little Words;Richard Thorpe;Musical;MGM. Astaire won first Golden Globe for Best Actor in a Musical or Comedy
Three Secrets;Robert Wise;Drama;Warner Bros.
A Ticket to Tomahawk;Richard Sale;Western comedy;20th Century Fox
Timber Fury;Bernard B. Ray;Western;Eagle-Lion
To Please a Lady;Clarence Brown;Drama;MGM
The Toast of New Orleans;Norman Taurog;Musical;MGM
The Torch;Emilio Fernández;Romantic;Eagle-Lion. American version of Enamorada (1946)
The Tougher They Come;Ray Nazarro;Action;Columbia
Trail of Robin Hood;William Witney;Western;Republic
Trail of the Rustlers;Ray Nazarro;Western;Columbia
Train to Tombstone;William Berke;Western;Lippert
The Traveling Saleswoman;Charles Reisner;Western comedy;Columbia
Treasure Island;Byron Haskin;Adventure;Disney
Trial Without Jury;Philip Ford;Drama;Republic
Trigger, Jr.;William Witney;Western;Republic
Trio;Ken Annakin, Harold French;Drama;"Paramount; Anthology of stories by W. Somerset Maugham"
Triple Trouble;Jean Yarbrough;Comedy;Monogram
Tripoli;Will Price;War;Paramount
Twilight in the Sierras;William Witney;Western;Republic
Two Flags West;Robert Wise;War;20th Century Fox
Two Weeks with Love;Roy Rowland;Musical;MGM. Based on story by John Larkin
Tyrant of the Sea;Lew Landers;Historical;Columbia
Under Mexicali Stars;George Blair;Western;Republic
Under My Skin;Jean Negulesco;Drama;20th Century Fox. Based on Hemingway short story
Undercover Girl;Joseph Pevney;Crime;Universal
The Underworld Story;Cy Endfield;Film noir;United Artists
Union Station;Rudolph Maté;Film noir;Paramount. Based on novel Nightmare in Manhattan
Unmasked;George Blair;Crime;Republic
The Vanishing Westerner;Philip Ford;Western;Republic
Vendetta;Mel Ferrer;Crime;RKO. Based on 1840 novella Colomba
Vigilante Hideout;Fred C. Brannon;Western;Republic
Wabash Avenue;Henry Koster;Musical;20th Century Fox
Wagon Master;John Ford;Western;RKO. Followed by TV series Wagon Train
Walk Softly, Stranger;Robert Stevenson;Drama;RKO
Watch the Birdie;Jack Donohue;Comedy;MGM
West of the Brazos;Thomas Carr;Western;Lippert
West of Wyoming;Wallace Fox;Western;Monogram
The West Point Story;Roy Del Ruth;Musical;Warner Bros.
Western Pacific Agent;Sam Newfield;Crime;Lippert
When Willie Comes Marching Home;John Ford;Comedy;20th Century Fox. Golden Leopard award
When You're Smiling;Joseph Santley;Musical;Columbia
Where Danger Lives;John Farrow;Drama;RKO. Domergue's film debut
Where the Sidewalk Ends;Otto Preminger;Film noir;20th Century Fox. Based on novel Night Cry
The White Tower;Ted Tetzlaff;Adventure;RKO. Based on novel of same name
The Wild Heart;Powell and Pressburger;Drama;U.S. version of Gone to Earth
Winchester '73;Anthony Mann;Western;"Universal; Remade in 1967 1967 film"
A Woman of Distinction;Edward Buzzell;Romantic comedy;Columbia
Woman in Hiding;Michael Gordon;Film noir;Universal
Woman on the Run;Norman Foster;Film noir;Universal
Women from Headquarters;George Blair;Drama;Republic
Wyoming Mail;Reginald Le Borg;Western;Universal
The Yellow Cab Man;Jack Donohue;Comedy;MGM
Young Daniel Boone;Reginald Le Borg;Western;Monogram
Young Man with a Horn;Michael Curtiz;Drama;Warner Bros.
The Crime of Korea;;War;Korean War propaganda
The Hollywood Ten;John Berry;Documentary;
The Titan: Story of Michelangelo;Robert J. Flaherty;Documentary;Oscar winner
Why Korea?;Edmund Reek;Documentary;Oscar winner
With These Hands;Jack Arnold;Documentary;
Atom Man vs. Superman;Spencer Gordon Bennet;Serial;Columbia
Cody of the Pony Express;Spencer Gordon Bennet;Serial;
Desperadoes of the West;Fred C. Brannon;Serial;
Flying Disc Man from Mars;Fred C. Brannon;Adventure;Serial
The Invisible Monster;Fred C. Brannon;Adventure;Republic Serial
Pirates of the High Seas;Spencer Gordon Bennet, Thomas Carr;Serial;Universal
8 Ball Bunny;Chuck Jones;Animation;
Big House Bunny;Friz Freleng;Animation;
Boobs in the Woods;Robert McKimson;Animation;
The Brave Engineer;Jack Kinney;Animation;"Disney; based on life of Casey Jones"
Bushy Hare;Robert McKimson;Animation;
Canary Row;Friz Freleng;Animation;
Cue Ball Cat;Hanna-Barbera;Animation;
A Date with Your Family;Edward G. Simmel;Short;
Dopey Dicks;Edward Bernds;Comedy short;
The Ducksters;Charles M. Jones;Animation;
A Fractured Leghorn;Robert McKimson;Animation;
The Framed Cat;Hanna-Barbera;Animation;
Golden Yeggs;I. Freleng;Animation;
Grandad of Races;André de la Varre;Short;Oscar for Best Short (1 Reel)
Hillbilly Hare;Robert McKimson;Animation;
Homeless Hare;Chuck Jones;Animation;
Hugs and Mugs;Jules White;Comedy short;Columbia
Hurdy-Gurdy Hare;Robert McKimson;Animation;
In Beaver Valley;James Algar;Short;Oscar for Best Short (2 Reels)
Jerry and the Lion;Hanna-Barbera;Animation;
Jerry's Cousin;Hanna-Barbera;Animation;
Little Quacker;Hanna-Barbera;Animation;
Love at First Bite;Jules White;Comedy short;
Motor Mania;Jack Kinney;Animation;Disney
Mutiny on the Bunny;Friz Freleng;Animation;
Pop 'im Pop;Robert McKimson;Animation;
Punchy Cowpunchers;Edward Bernds;Comedy;
Puny Express;Walter Lantz, Dick Lundy;Animation;
Rabbit of Seville;Charles M. Jones;Animation;
Rabbit's Moon;Kenneth Anger;Animation;
Safety Second;Hanna-Barbera;Animation;
Saturday Evening Puss;Hanna-Barbera;Animation;
The Scarlet Pumpernickel;Charles M. Jones;Animation;
Self-Made Maids;Jules White;Comedy;
Slaphappy Sleuths;Jules White;Comedy;
A Snitch in Time;Edward Bernds;Comedy;
The Stairs;;Short;Oscar nominee
Strife with Father;Bob McKimson;Animation;
Studio Stoops;Edward Bernds;Comedy;
Sugar Chile Robinson;Will Cowan;Short;
Texas Tom;Hanna-Barbera;Animation;
Three Hams on Rye;Jules White;Comedy;
Tom and Jerry in the Hollywood Bowl;Hanna-Barbera;Animation;
Triple Crossed;Jules White;Comedy;
What's Up, Doc?;Robert McKimson;Animation;
The Wizard of Oz (TV special);Burr Tillstrom;Short;Adaptation using puppets
The 13th Letter;Otto Preminger;Film noir;20th Century Fox
Abbott and Costello Meet the Invisible Man;Charles Lamont;Comedy–Horror;Universal
Abilene Trail;Lewis D. Collins;Western;Monogram
According to Mrs. Hoyle;Jean Yarbrough;Comedy crime;Monogram
Ace in the Hole;Billy Wilder;Drama;Paramount
Across the Wide Missouri;William A. Wellman;Western;MGM. Based on the novel
Adventures of Captain Fabian;William Marshall;Adventure;Republic
The African Queen;John Huston;Drama;Academy Award for Bogart
Air Cadet;Joseph Pevney;Drama;Universal
Al Jennings of Oklahoma;Ray Nazarro;Western;Columbia
Alice in Wonderland;Clyde Geronimi;Animation;Walt Disney
Along the Great Divide;Raoul Walsh;Western;Warner Bros.
An American in Paris;Vincente Minnelli;Musical;MGM. Academy Award for Best Picture
Angels in the Outfield;Clarence Brown;Comedy;MGM. Remade in 1994
Anne of the Indies;Jacques Tourneur;Adventure;20th Century Fox
Another Man's Poison;Irving Rapper;Drama;United Artists
Apache Drums;Hugo Fregonese;Western;Universal
Appointment with Danger;Lewis Allen;Film noir;Paramount
Arizona Manhunt;Fred C. Brannon;Western;Republic
As Young as You Feel;Harmon Jones;Comedy;20th Century Fox. Cameo by Marilyn Monroe
As You Were;Bernard Girard;Comedy;Lippert Pictures
Badman's Gold;Robert Emmett Tansey;Western;Eagle-Lion
Bannerline;Don Weis;Drama;MGM
The Barefoot Mailman;Earl McEvoy;Comedy;Columbia
The Basketball Fix;Felix E. Feist;Drama;Realart
Bedtime for Bonzo;Frederick de Cordova;Comedy;Universal. Sequel is Bonzo Goes to College
Behave Yourself!;George Beck;Comedy;RKO
Belle Le Grand;Allan Dwan;Western;Republic
Best of the Badmen;William D. Russell;Western;RKO
The Big Gusher;Lew Landers;Adventure;Columbia
The Big Night;Joseph Losey;Film noir;United Artists
Bird of Paradise;Delmer Daves;Drama;20th Century Fox
Blazing Bullets;Wallace Fox;Western;Monogram
Blue Blood;Lew Landers;Sports;Monogram
The Blue Veil;Joseph Losey;Drama;RKO
Bonanza Town;Fred F. Sears;Western;Columbia
Bowery Battalion;William Beaudine;Comedy;Monogram
The Brave Bulls;Robert Rossen;Drama;Columbia. Based on the 1949 novel
